model,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
Mordred XGBoost baseline - 626 features,0.6,0.8697315393786467,0.6939486245178225,0.9520174229385233,0.9868584696651257,0.9551739719837324,0.908457968024755,0.8310051107325384,0.9312304506806467,2439,496,1065,10569
Mordred XGBoost baseline - 626 features,0.61,0.8707428207108402,0.6930963407818214,0.9520174229385233,0.9868584696651257,0.9561865021770682,0.9060512291559223,0.8354344122657581,0.9304439932915527,2452,483,1093,10541
Mordred XGBoost baseline - 626 features,0.62,0.8725613611516969,0.6930798479276399,0.9520174229385233,0.9868584696651257,0.957710535909588,0.9032147154890837,0.8419080068143101,0.9296646907900558,2471,464,1126,10508
Mordred XGBoost baseline - 626 features,0.63,0.8740821635697988,0.6927655462589597,0.9520174229385233,0.9868584696651257,0.9590771765998352,0.9004641567818463,0.8477001703577512,0.9288469211331294,2488,447,1158,10476
Mordred XGBoost baseline - 626 features,0.64,0.8743245067693557,0.6904610235618097,0.9520174229385233,0.9868584696651257,0.959830866807611,0.8975416881554066,0.8511073253833049,0.927641806955981,2498,437,1192,10442
Mordred XGBoost baseline - 626 features,0.65,0.8746450440888907,0.686981361140795,0.9520174229385233,0.9868584696651257,0.9609692933777284,0.8930720302561458,0.8562180579216354,0.9257774213668359,2513,422,1244,10390
Mordred XGBoost baseline - 626 features,0.66,0.8753156099185289,0.685904692642049,0.9520174229385233,0.9868584696651257,0.961849067112225,0.8906652913873131,0.8599659284497445,0.9248895434462445,2524,411,1272,10362
Mordred XGBoost baseline - 626 features,0.67,0.8757743926850132,0.6847695681188967,0.9520174229385233,0.9868584696651257,0.9625663469596797,0.8885164173972838,0.8630323679727427,0.9240602511956376,2533,402,1297,10337
Mordred XGBoost baseline - 626 features,0.68,0.875844825965368,0.6821723099550127,0.9520174229385233,0.9868584696651257,0.9633336451220653,0.8852501289324394,0.8664395229982964,0.9226427771556551,2543,392,1335,10299
Mordred XGBoost baseline - 626 features,0.69,0.8757464536623695,0.6796667456333022,0.9520174229385233,0.9868584696651257,0.9639402760822613,0.8823276603059996,0.8691652470187393,0.9213301620069111,2551,384,1369,10265
Mordred XGBoost baseline - 626 features,0.7,0.8757723572949989,0.676797889093012,0.9520174229385233,0.9868584696651257,0.964794714487966,0.8786315970431494,0.8729131175468484,0.9196994916550452,2562,373,1412,10222
Mordred XGBoost baseline - 626 features,0.71,0.8776307708798068,0.6769358689788452,0.9520174229385233,0.9868584696651257,0.9665843933928232,0.8751933986591026,0.8800681431005111,0.9186214363045831,2583,352,1452,10182
Mordred XGBoost baseline - 626 features,0.72,0.8771440490906786,0.673212080822911,0.9520174229385233,0.9868584696651257,0.967264745180378,0.8711535155578477,0.8831345826235094,0.9166968162083936,2592,343,1499,10135
Mordred XGBoost baseline - 626 features,0.73,0.8768722147005531,0.6702054636214406,0.9520174229385233,0.9868584696651257,0.9679677759662415,0.8675434072545986,0.8862010221465076,0.9150083858392638,2601,334,1541,10093
Mordred XGBoost baseline - 626 features,0.74,0.878561822702008,0.670555383452965,0.9520174229385233,0.9868584696651257,0.969629772464327,0.8644490287089565,0.8926746166950597,0.9140234481505044,2620,315,1577,10057
Mordred XGBoost baseline - 626 features,0.75,0.8788424868775917,0.6683345475855444,0.9520174229385233,0.9868584696651257,0.9707194105099864,0.8605810555269039,0.8971039182282794,0.9123382540550392,2633,302,1622,10012
Mordred XGBoost baseline - 626 features,0.76,0.8800577904333156,0.667254288037248,0.9520174229385233,0.9868584696651257,0.9724690032217124,0.8561973525872443,0.9039182282793867,0.9106367417836083,2653,282,1673,9961
Mordred XGBoost baseline - 626 features,0.77,0.8808909531746081,0.6658651630040953,0.9520174229385233,0.9868584696651257,0.9739634505796817,0.8520715145263882,0.909710391822828,0.9089492022739776,2670,265,1721,9913
Mordred XGBoost baseline - 626 features,0.78,0.8802721946102287,0.6618683616860889,0.9520174229385233,0.9868584696651257,0.9748738747650608,0.8470861268695203,0.913458262350937,0.906498643241503,2681,254,1779,9855
Mordred XGBoost baseline - 626 features,0.79,0.8796995178614992,0.6585077250179087,0.9520174229385233,0.9868584696651257,0.9756243159884589,0.8428743338490631,0.9165247018739353,0.9044039658750288,2690,245,1828,9806
Mordred XGBoost baseline - 626 features,0.8,0.8789518268577181,0.654384086007354,0.9520174229385233,0.9868584696651257,0.9765507565888366,0.8376310813133918,0.9202725724020443,0.901772081617545,2701,234,1889,9745
Mordred XGBoost baseline - 626 features,0.81,0.8783744936052146,0.6506367071775814,0.9520174229385233,0.9868584696651257,0.9775893397940641,0.8323878287777204,0.9243611584327087,0.8991643454038997,2713,222,1950,9684
Mordred mRMR XGBoost - 300 features,0.2,0.7913335875374388,0.6718159812909791,0.9508777216752051,0.9864016216278446,0.9076456019813054,0.9765342960288809,0.6061328790459966,0.9408306074282639,1779,1156,273,11361
Mordred mRMR XGBoost - 300 features,0.21,0.7946485789316926,0.6737430732439209,0.9508777216752051,0.9864016216278446,0.9092585170340681,0.9749871067560598,0.6143100511073254,0.9409763988551993,1803,1132,291,11343
Mordred mRMR XGBoost - 300 features,0.22,0.7971102294016335,0.6737947020325896,0.9508777216752051,0.9864016216278446,0.9105606048419529,0.9730960976448341,0.6211243611584327,0.9407902937632443,1823,1112,313,11321
