descriptor,jnk3_score_mutual_information,jnk3_score_rank,gsk3b_score_mutual_information,gsk3b_score_rank,mean_rank
MATS2se,0.020782650672810377,177.0,0.021216817104306784,180.0,178.5
GATS8p,0.01943890128208725,183.0,0.022650203437379446,176.0,179.5
nG12FRing,0.017507460724148438,192.0,0.023779641695878317,175.0,183.5
PEOE_VSA12,0.0202356336764975,180.0,0.018207960521625655,190.0,185.0
VSA_EState7,0.023454092616660205,172.0,0.016327668940948392,200.0,186.0
AATS7s,0.019276976097699183,184.0,0.016780212057526,197.0,190.5
Xc-6dv,0.019708050581237924,182.0,0.016510596782663534,199.0,190.5
CIC2,0.014020145315598143,206.0,0.021555663349101195,179.0,192.5
GATS4m,0.018883171427136247,186.0,0.01630305405921728,201.0,193.5
SsssCH,0.016436257126397624,194.0,0.017762052879288337,193.0,193.5
Xc-4d,0.01821931309564695,189.0,0.016590913432910748,198.0,193.5
AATS6are,0.01429261088871403,203.0,0.01827786901911388,188.0,195.5
GATS5d,0.01454492994758283,200.0,0.01793848439756829,191.0,195.5
MATS1d,0.018222714209780833,188.0,0.016116342537800143,204.0,196.0
GATS2s,0.015093728749098645,198.0,0.017436230066741665,196.0,197.0
BIC1,0.013528414576939873,208.0,0.01765083056531047,194.0,201.0
n9FARing,0.01616468215565825,195.0,0.015488262728809765,208.0,201.5
MATS3m,0.012465323233453951,221.0,0.020230383994693568,183.0,202.0
AATSC6Z,0.01587305701852859,196.0,0.015410448059663295,209.0,202.5
MATS2s,0.01891012546178583,185.0,0.013120249248432359,221.0,203.0
MIC1,0.01216108798812332,225.0,0.020781665111337055,181.0,203.0
SddssS,0.017302418284618648,193.0,0.014552518782932067,214.0,203.5
n10FARing,0.014326223087406165,202.0,0.01484263816834841,212.0,207.0
MINaaCH,0.018002958676252234,191.0,0.012563386401738263,226.0,208.5
SssCH2,0.011127373592838552,233.0,0.018561471070887237,187.0,210.0
AATS6s,0.012888867762893774,216.0,0.015547519941328858,207.0,211.5
AATS5s,0.011748930873867636,229.0,0.017443763881159313,195.0,212.0
n10FAHRing,0.013457914627400314,209.0,0.014211971279899815,216.0,212.5
SMR_VSA4,0.012750508936765215,217.0,0.01508883798963101,211.0,214.0
nG12FAHRing,0.013021517507385227,214.0,0.014377805390925591,215.0,214.5
AATS3s,0.01177505046227001,228.0,0.016072379698091943,205.0,216.5
ATSC0c,0.011296362956904282,232.0,0.01621554961675109,203.0,217.5
GATS3d,0.011375104907790146,231.0,0.0157863798789446,206.0,218.5
Xc-6d,0.01456181190381689,199.0,0.011605479219784387,238.0,218.5
GATS8i,0.010432313239034485,250.0,0.018256082183884637,189.0,219.5
C3SP3,0.013094689841559592,213.0,0.01242391949343169,227.0,220.0
n5AHRing,0.01355457187479403,207.0,0.0116167181661746,236.0,221.5
AATSC7d,0.012061459928495388,227.0,0.013234080875955456,220.0,223.5
GATS3i,0.012405646161425032,223.0,0.012093514282047302,230.0,226.5
nAcid,0.01111998693822236,234.0,0.013548974994977314,219.0,226.5
ATSC6d,0.01021005923392071,264.0,0.017807211880877638,192.0,228.0
AATS7are,0.011041386100130168,235.0,0.012259370825503879,228.0,231.5
GATS6d,0.010583613282791227,242.0,0.012841180524061357,223.0,232.5
NssssC,0.01097415418360348,237.0,0.01220241462515359,229.0,233.0
SsI,0.011421991207006599,230.0,0.01152113269611188,239.0,234.5
nARing,0.010899521477647722,238.0,0.012024222327971623,231.0,234.5
GATS5i,0.014175660333217266,205.0,0.009275597300516303,276.0,240.5
n4ARing,0.010281082620855475,256.0,0.012746449316602737,225.0,240.5
SMR_VSA2,0.010371329939748986,252.0,0.011952505095473409,232.0,242.0
NaaO,0.010340825658966102,253.0,0.011848839622654816,233.0,243.0
NsOH,0.009955858246522453,269.0,0.013960922360729322,218.0,243.5
C4SP3,0.011013619996386836,236.0,0.010812393748801608,252.0,244.0
ATSC2dv,0.00792662798477295,287.0,0.016265701076554784,202.0,244.5
NdNH,0.010553067012641248,244.0,0.010943697429839139,245.0,244.5
SsSH,0.010525090829846095,246.0,0.010978705245430653,243.0,244.5
GATS8v,0.01268890346769691,218.0,0.009697573896130685,272.0,245.0
GATS5dv,0.010557504242742155,243.0,0.010838346943331523,248.0,245.5
NaasN,0.010632775155058338,241.0,0.010819580014236774,250.0,245.5
n7AHRing,0.012441505662323937,222.0,0.009939027883318241,270.0,246.0
n4aRing,0.01043379245708298,249.0,0.010919547458185574,246.0,247.5
